"Carimbo de data/hora","Em qual instituição você está fazendo pós graduação?","Se você estuda na UFPR, em qual setor você está inserido?  ","Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?","Em qual grande área do conhecimento sua pesquisa está inserida hoje?","Em qual ano você concluiu sua graduação?","Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição)","De quais programas de graduação você participou?","Se você já concluiu o mestrado, qual o ano de início do mestrado?","Qual o ano de conclusão do seu mestrado?","Em qual instituição você fez seu mestrado?","Quantos artigos (com qualis) você já publicou?","Você é bolsista remunerado de algum programa? Qual?","Quantas disciplinas de Estatística você cursou na graduação?","Quantas disciplinas de Estatística você cursou na pós-graduação (mestrado + doutorado)? ","Já utilizou algum software com funcionalidades estatísticas?","Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?","Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?","Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ","Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?","Como tomou conhecimento da Disciplina Transversal?","Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ","Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina?","Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?","Você cursou o ensino médio em escola pública ou particular?","Você cursou ensino médio tradicional ou profissionalizante?","Qual o seu sexo?","Qual a sua altura?","Qual o seu peso?","Qual a data do seu nascimento?","Qual das seguintes categorias descreve melhor sua situação de emprego?","Com quem você mora?","Quantos irmãos você tem?","Qual a sua origem?","Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?","Em média, quanto tempo você demorava ou demoraria para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?","Possui animal de estimação?","Toca algum instrumento musical?","De quais redes sociais você participa?","Você pratica atividade física regularmente?","Quantas vezes por semana você se exercita?","Qual atividade você pratica?","Quantos anos você acha que a pessoa da foto abaixo tem?","Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
"21/03/2022 11:14:30","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",2013,"UCN","Não participei",2019,2021,"UNIFAL",2,"CAPES",1,1,"Sim","Nunca usei, RevMan","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",159,57,"31/01/1990","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",3,"Outro País","A pé",20,2,"Não possuo","Não toco nenhum instrumento","Facebook, Google+, Instagram","Sim",4,"Musculação",30,"A da esquerda se chama Bouba, a da direita se chama Kiki.",8
"21/03/2022 11:14:35","UFPR","AG - Agrárias","Doutorado","Ciências Biológicas",2016,"Ufpr","Iniciação científica, Monitoria",2018,2019,"UFPR",17,"CAPES",1,2,"Sim","Statistica, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Feminino",160,56,"04/05/1091","Trabalho por contrato","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Curitiba","Transporte público",60,2,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",0,"Nenhuma",28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",24
"21/03/2022 11:15:14","UFPR","BL - Ciências Biológiccas","Doutorado","Ciências Biológicas",2017,"UFPR","Iniciação científica",2017,2019,"UFPR",4,"CAPES",1,0,"Sim","Minitab, Statistica, Excel ou similares, Matlab","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",173,59,"12/12/1993","Bolsista em tempo integral","Sozinho",1,"Interior do Paraná","Carro/moto próprio",25,1,"Não possuo","Violão","Facebook, Twitter, Instagram, Linkedin","Sim",3,"Caminhada, Corrida",28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
"21/03/2022 11:15:32","UFPR","SL - Litoral","Mestrado Acadêmico","Ciências Humanas",2005,"UNINTER","Iniciação científica, Projeto de extensão",,2023,,1,"Não",0,0,"Não","Nunca usei","Certamente sim",8,"Aumento salarial e oportunidades mais promissoras.","SIGA UFPR","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",163,62,"24/03/1983","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Curitiba","Bicicleta",7,0,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",0,"Nenhuma",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
"21/03/2022 11:16:03","UNIOESTE",,"Mestrado Acadêmico","Ciências Biológicas",2017,"UFPR ","Monitoria",2021,,,0,"Não",5,0,"Sim","R, Minitab, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",156,70,"26/11/1993","Trabalho por contrato","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",2,"Interior do Paraná","Bicicleta",15,0,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",0,"Nenhuma",25,"A da esquerda se chama Bouba, a da direita se chama Kiki.",3
"21/03/2022 11:16:13","UFPR","TC - Tecnologia","Mestrado Acadêmico","Ciências Exatas",2013,"UFPR","PET, Monitoria",,,,0,"Não",15,4,"Sim","R, SAS, SPSS","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Sim","Sim","Sim","Totalmente em escola pública","Ensino médio tradicional","Masculino",174,77,"22/03/1993","Trabalho por contrato","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",3,"Outro Estado","Carro/moto próprio",60,0,"Não possuo","Não toco nenhum instrumento","Facebook, Linkedin","Não",0,"Nenhuma",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",62
"21/03/2022 11:17:19","UFPR","CT - Ciências da Terra","Mestrado Acadêmico","Ciências Exatas",2021,"UFPR","Iniciação científica, Monitoria",,2024,"UFPR",0,"Não",3,0,"Sim","R, Excel ou similares","Certamente sim",7,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pela secretaria da PGSISCO","Não","Não","Não","Totalmente em escola particular","Curso Científico","Masculino",178,90,"15/10/1956","Aposentado","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",2,"Outro Estado","Bicicleta",20,0,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin, Outras","Sim",6,"Ciclismo, Musculação",30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
"21/03/2022 11:17:50","UTFPR",,"Doutorado","Ciências Biológicas",2017,"UTFPR","Iniciação científica, PET, Monitoria",,,,1,"Não",1,0,"Sim","Excel ou similares","Certamente sim",10,"Conseguir um emprego.","programa de pós recomendou","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",188,120,"12/03/1992","Trabalho por contrato","Com os pais",3,"Outro Estado","A pé",10,10,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",0,"Nenhuma",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
"21/03/2022 11:17:53","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2011,"Uel ","Não participei",,,,3,"Não",1,1,"Não","Nunca usei","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Sim","Sim","Totalmente em escola particular","Ensino médio tradicional","Feminino",163,70,"01/09/1991","Trabalho ocasional","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Interior do Paraná","Carro/moto próprio",20,10,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Sim",4,"Caminhada, Musculação",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
"21/03/2022 11:18:51","UFPR","ET - Exatas","Mestrado Profissional","Ciências Exatas",2009,"UFPR","PET",,2023,,0,"Não",1,0,"Não","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Sim","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Masculino",177,88,"25/06/1986","Sócio ","Sozinho",2,"Interior do Paraná","Carro/moto próprio",30,0,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Sim",3,"Musculação",28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
"21/03/2022 11:20:04","UFPR","BL - Ciências Biológiccas","Mestrado Acadêmico","Ciências Biológicas",2021,"UFPR","Iniciação científica, Monitoria, Projeto de extensão",,,,0,"CAPES",1,0,"Sim","R, Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Feminino",165,65,"13/07/1998","Bolsista em tempo integral","Pensão, quarto alugado ou algo similar",2,"Interior do Paraná","intercampi",30,4,"Não possuo","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",0,"Nenhuma",30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
"21/03/2022 11:20:41","UFPR","JD - Jurídicas","Doutorado","Ciências Humanas",2010,"Instituto Camillo Filho - ICF","Não participei",2019,2020,"Universidade Federal do Piauí",2,"Não",0,0,"Não","Nunca usei","Certamente sim",7,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",175,77,"19/02/1982","Trabalho com carteira assinada/Vínculo Formal","Sozinho",2,"Outro Estado","Transporte público",20,5,"Não possuo","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Sim",4,"Musculação, Futebol",25,"A da esquerda se chama Bouba, a da direita se chama Kiki.",26
"21/03/2022 11:20:42","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",1988,"Universidade Federal de Vicosa ","Monitoria, Projeto de extensão",1989,1993,"University of California Davis USA ",57,"Não",1,2,"Sim","Excel ou similares","Definitivamente não",10,"Continuar com a pesquisa . Seguir a carreira. ","Pelo(a)  orientador(a)","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio profissionalizante (técnico)","Feminino",155,65,"25/03/1965","Professora Universitaria em tempo integral ","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",2,"Outro Estado","longa distancia virtual - outro pais ",150,0,"Cachorro","Outro","Facebook, Twitter, Instagram, Linkedin","Sim",3,"Caminhada",21,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
"21/03/2022 11:21:23","UFPR","CT - Ciências da Terra","Doutorado","Ciências Exatas",2018,"UNIPAMPA","Iniciação científica, Monitoria, Projeto de extensão",2019,2021,"UFPR",3,"CAPES",1,0,"Sim","R, Excel ou similares","Certamente sim",9,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Sim","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",174,85,"24/03/1992","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Outro Estado","Transporte público",40,2,"Não possuo","Violão","Twitter, Instagram, Linkedin","Não",1,"Caminhada",28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",21
"21/03/2022 11:23:09","UFPR","JD - Jurídicas","Mestrado Acadêmico","Ciências Humanas",2008,"pucpr","Iniciação científica",,2024,,5,"Não",0,0,"Não","Nunca usei","Não sei ainda",6,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",161,58,"17/01/1985","sócia proprietária escritório de advocacia","Com os pais",1,"Curitiba","Carro/moto próprio",10,5,"Cachorro","Não toco nenhum instrumento","Instagram, Linkedin","Sim",3,"Musculação, yoga",19,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
"21/03/2022 11:23:36","UTFPR",,"Doutorado","Ciências Humanas",2017,"UEM","Iniciação científica, Projeto de extensão",2019,2021,"Unicesumar",4,"Fundação Araucária",0,0,"Sim","R, Excel ou similares","Certamente sim",8,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",162,47,"06/12/1996","Bolsista em tempo integral","Sozinho",1,"Outro Estado","Carro/moto próprio",5,0,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Sim",3,"Natação",25,"A da esquerda se chama Bouba, a da direita se chama Kiki.",36
"21/03/2022 11:23:44","UFPR","ET - Exatas","Doutorado","Ciências Exatas",2014,"UCS","Não participei",2019,2021,"UFPR",0,"Não",1,0,"Sim","Excel ou similares, Matlab","Certamente sim",9,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",190,90,"28/02/1991","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Outro Estado","Carro/moto próprio",120,0,"Não possuo","Não toco nenhum instrumento","Nenhuma","Não",0,"Nenhuma",27,"A da esquerda se chama Bouba, a da direita se chama Kiki.",32
"21/03/2022 11:24:24","UFPR","CT - Ciências da Terra","Doutorado","Ciências Exatas",2005,"UFPR (2005) e UNIPAMPA (2014)","Iniciação científica, Monitoria, Projeto de extensão, Empresa Júnior",2006,2007,"UFPR",2,"PTI (Parque Tecnológico Itaipu)",1,1,"Sim","Excel ou similares, Matlab","Certamente sim",7,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",170,80,"04/06/1981","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",2,"Curitiba","Carro/moto próprio",30,2,"Cachorro","Outro","Linkedin","Sim",3,"Ciclismo, Futebol",22,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"21/03/2022 11:27:06","UFPR","CT - Ciências da Terra","Doutorado","Ciências Exatas",2018,"UEPB","Iniciação científica, Monitoria",2019,2021,"UFPB",3,"CAPES",1,0,"Sim","Excel ou similares","Certamente sim",8,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",175,72,"07/09/1995","Bolsista em tempo integral","Com os pais",6,"Outro Estado","Transporte público",1,0,"Não possuo","Violão, Guitarra","Facebook, Instagram","Não",0,"Nenhuma",26,"A da esquerda se chama Bouba, a da direita se chama Kiki.",23
"21/03/2022 11:27:12","UFPR","SL - Litoral","Mestrado Acadêmico","Ciências Humanas",2004,"UNIVILLE","Não participei",,,,2,"Não",0,1,"Sim","R, Excel ou similares","Não sei ainda",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",183,99,"28/09/1981","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Outro Estado","Carro/moto próprio",80,2,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Sim",2,"Caminhada, Futebol",28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",31
"21/03/2022 11:28:27","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2021,"UEL","Iniciação científica, Projeto de extensão",,,,0,"SETI",1,0,"Sim","R","Certamente sim",10,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",173,80,"24/12/1997","Bolsista 30h semanais","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",0,"Interior do Paraná","Carro/moto próprio",15,0,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin, Outras","Sim",3,"Caminhada",27,"A da esquerda se chama Kiki, a da direita se chama Bouba.",35
"21/03/2022 11:28:34","UFPR","TC - Tecnologia","Doutorado","Ciências Exatas",2014,"Ufcg","Projeto de extensão",2017,2019,"UFPR",1,"CAPES",1,0,"Não","Nunca usei","Certamente sim",6,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",156,54,"03/05/1986","Bolsista em tempo integral","Pensão, quarto alugado ou algo similar",1,"Outro Estado","Transporte público",25,10,"Não possuo","Não toco nenhum instrumento","Instagram, Linkedin","Sim",3,"Musculação",40,"A da esquerda se chama Bouba, a da direita se chama Kiki.",33
"21/03/2022 11:30:02","UFPR","SL - Litoral","Mestrado Profissional","Ciências Biológicas",2015,"Ufpr","Pibid. ",,,,3,"Não",0,0,"Sim","Excel ou similares, Jeff","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo Siga. ","Não","Sim","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",187,130,"23/06/1991","Trabalho por contrato","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",3,"Curitiba","Táxi/Aplicativo",60,5,"Gato","Não toco nenhum instrumento","Linkedin, Nenhuma","Sim",3,"Caminhada, Barco. ",30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",0
"21/03/2022 11:31:46","UTFPR",,"Doutorado","Ciências Exatas",2011,"FAP","Projeto de extensão",2013,2015,"UEL",3,"Não",1,0,"Sim","R, Excel ou similares, Matlab","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Email da coordenação do UTFPR","Sim","Sim","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",170,86,"29/03/1980","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Interior do Paraná","Serviço fretado de van/ônibus",50,0,"Não possuo","Violão","Facebook, Instagram, Linkedin","Sim",3,"Caminhada, Corrida",23,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
